Comment,Designator,Footprint,LCSC Part #
1N4148WX-TP,D3,SOD323R-INFINEON,
1k,R22 R24 R26,R0603,
1u,C7,PANASONIC_B,
2.2u,C11 C13,PANASONIC_B,
2.7k,R29,R0603,
3k,R9,R0603,
4.7,D1 D2 D4,DIODE_SOD80C,
4k,R11,R0603,
5p,C29 C30,C0603,
10u X5R,C15 C31,C0805,
15k,R1 R2 R3 R4 R12,R0603,
17k,R32,R0603,
22k,R21 R25 R28,R0603,
22p,C3 C4 C10 C12 C14,C0603,
30k,R10,R0603,
33k,R6 R23 R27,R0603,
68k,R20,R0603,
100k,R5 R13 R14 R15 R17 R18,R0603,
100n,C9 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28,C0603,
220p,C1 C2,C0603,
270k,R19,R0603,
360,R7 R8,R0603,
560p,C8,C0603,
680p,C5 C6,C0603,
820,R16,R0603,
BAT854W,D7,SOT323,
SS12L,VD1 VD2,SOD123,
SSM2164S,IC1,SOIC16N,
TL072,IC2 IC3 IC4 IC5 IC6,SO08,
